105;10/07/2021 16:30;GRE;0;0;INT;13
106;11/07/2021 20:30;FOR;1;0;COR;7
107;10/07/2021 19:00;SPT;1;2;FLU;19
108;10/07/2021 17:30;CAP;2;2;BRA;9
109;11/07/2021 11:00;ECJ;1;1;ACG;18
110;11/07/2021 18:15;CEC;2;2;CEA;1
111;17/07/2021 21:00;FLU;0;1;GRE;6
112;17/07/2021 19:00;COR;1;2;CAM;8
113;17/07/2021 17:00;SAO;0;1;FOR;3
114;19/07/2021 20:00;AMG;0;1;SPT;15
115;18/07/2021 20:30;INT;1;0;ECJ;11
116;17/07/2021 17:00;CEA;1;0;CAP;7
117;18/07/2021 18:15;BAH;0;5;FLA;2
118;18/07/2021 20:30;BRA;2;2;SAN;14
119;18/07/2021 11:00;CHA;2;3;CEC;10
120;18/07/2021 16:00;ACG;0;3;PAL;12
121;25/07/2021 16:00;FLA;5;1;SAO;6
122;24/07/2021 19:00;PAL;1;0;FLU;17
123;25/07/2021 18:15;SAN;0;1;ACG;5
124;25/07/2021 11:00;CAM;3;0;BAH;4
125;24/07/2021 17:00;GRE;1;1;AMG;13
126;25/07/2021 16:00;FOR;1;0;BRA;7
127;25/07/2021 20:30;SPT;0;0;CEA;19
128;25/07/2021 18:15;CAP;2;1;INT;9
129;26/07/2021 18:00;ECJ;1;0;CHA;18
130;26/07/2021 20:00;CEC;1;2;COR;1
131;02/09/2021 19:00;FLU;1;1;ECJ;6
132;01/08/2021 16:00;COR;1;3;FLA;8
133;31/07/2021 19:00;SAO;0;0;PAL;3
134;01/08/2021 16:00;CAM;2;0;CAP;4
135;31/07/2021 20:00;INT;0;0;CEC;11
136;01/08/2021 20:30;CEA;3;1;FOR;7
137;01/08/2021 18:15;BAH;0;1;SPT;2
138;31/07/2021 21:00;BRA;1;0;GRE;14
139;01/08/2021 18:15;CHA;0;1;SAN;10
140;01/08/2021 20:30;ACG;1;1;AMG;12
141;08/08/2021 18:15;FLA;0;4;INT;6
142;08/08/2021 21:00;PAL;2;3;FOR;17
143;08/08/2021 16:00;SAN;0;0;COR;5
144;08/08/2021 16:00;AMG;1;0;FLU;15
145;09/08/2021 20:00;GRE;2;1;CHA;13
146;08/08/2021 18:15;CEA;0;0;ACG;7
147;06/08/2021 19:00;SPT;0;0;BRA;19
148;07/08/2021 18:00;CAP;1;2;SAO;9
149;08/08/2021 16:00;ECJ;1;2;CAM;18
150;07/08/2021 21:00;CEC;1;1;BAH;1
151;15/08/2021 16:00;FLA;2;0;SPT;20
152;15/08/2021 16:00;COR;3;1;CEA;8
153;14/08/2021 21:00;SAO;2;1;GRE;3
154;14/09/2021 19:00;CAM;2;0;PAL;4
155;15/08/2021 20:30;INT;4;2;FLU;11
156;15/08/2021 18:15;FOR;1;1;SAN;7
157;15/08/2021 18:15;BAH;1;2;ACG;2
158;14/08/2021 17:00;BRA;1;2;ECJ;14
159;16/08/2021 20:00;CHA;1;1;AMG;10
160;15/08/2021 18:15;CEC;1;0;CAP;1
161;23/08/2021 20:00;FLU;1;1;CAM;16
162;22/08/2021 11:00;PAL;0;2;CEC;17
163;22/08/2021 18:15;SAN;2;2;INT;5
164;23/08/2021 20:00;AMG;0;2;BRA;15
165;21/08/2021 19:00;GRE;2;0;BAH;13
166;21/08/2021 16:00;CEA;1;1;FLA;7
167;22/08/2021 20:30;SPT;0;1;SAO;19
168;22/08/2021 16:00;CAP;0;1;COR;9
169;21/08/2021 21:00;ECJ;1;1;FOR;18
170;21/08/2021 17:00;ACG;1;1;CHA;12
171;30/08/2021 19:00;FLU;2;0;BAH;6
